# license: MIT
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
accompanying	Accompanying Family	1851	1851	7585	7885	it,predict	
accompanying	Accompanying Family Allowance	1851	1851	7620	7920	it,predict	
accompanyingfamily	Accompanying Family	1851	1851	7585	7885	it,predict	
accompanyingfamilyallowance	Accompanying Family Allowance	1851	1851	7620	7920	it,predict	
accordion	Accordion	1851	1851	7235	7535	it,predict	
account	Account Item	1851	1851	7340	7640	it,predict	
account-specific	Account-specific Codespaces secret	1851	1851	7620	7920	it,predict	
account-specificcodespacessecret	Account-specific Codespaces secret	1851	1851	7500	7800	it,predict	
accountability	Accountability	1851	1851	7410	7710	it,predict	
accounting	Accounting Books	1851	1851	7480	7780	it,predict	
accounting	Accounting Policy	1851	1851	7515	7815	it,predict	
accounting	Accounting Regulations	1851	1851	7620	7920	it,predict	
accounting	Accounting Slip	1851	1851	7445	7745	it,predict	
accounting	Accounting Standards	1851	1851	7620	7920	it,predict	
accounting	Accounting System	1851	1851	7515	7815	it,predict	
accountingbooks	Accounting Books	1851	1851	7480	7780	it,predict	
accountingpolicy	Accounting Policy	1851	1851	7515	7815	it,predict	
accountingregulations	Accounting Regulations	1851	1851	7620	7920	it,predict	
accountingslip	Accounting Slip	1851	1851	7445	7745	it,predict	
accountingstandards	Accounting Standards	1851	1851	7620	7920	it,predict	
accountingsystem	Accounting System	1851	1851	7515	7815	it,predict	
accountitem	Account Item	1851	1851	7340	7640	it,predict	
accounts	Accounts Payable	1851	1851	7480	7780	it,predict	
accounts	Accounts Payable Management	1851	1851	7620	7920	it,predict	
accounts	Accounts Receivable (Urikakekin)	1851	1851	7620	7920	it,predict	
accounts	Accounts Receivable Management	1851	1851	7620	7920	it,predict	
accountspayable	Accounts Payable	1851	1851	7480	7780	it,predict	
accountspayablemanagement	Accounts Payable Management	1851	1851	7620	7920	it,predict	
accountspecificcodespacessecret	Account-specific Codespaces secret	1851	1851	7620	7920	it,predict	
accountsreceivable(urikakekin)	Accounts Receivable (Urikakekin)	1851	1851	7620	7920	it,predict	
accountsreceivablemanagement	Accounts Receivable Management	1851	1851	7620	7920	it,predict	
accountsreceivableurikakekin	Accounts Receivable (Urikakekin)	1851	1851	7620	7920	it,predict	
accrued	Accrued Bonus Reserve	1851	1851	7620	7920	it,predict	
accruedbonusreserve	Accrued Bonus Reserve	1851	1851	7620	7920	it,predict	
aci	ACI	1851	1851	7025	7325	it,predict	
acid	ACID	1851	1851	6940	7240	it,predict	
acknowledgment	Acknowledgment	1851	1851	7410	7710	it,predict	
acl	ACL	1851	1851	7025	7325	it,predict	
acm	ACM	1851	1851	7025	7325	it,predict	
acm	ACM PCA	1851	1851	7165	7465	it,predict	
acmpca	ACM PCA	1851	1851	7165	7465	it,predict	
acr	ACR	1851	1851	7025	7325	it,predict	
acs	ACS	1851	1851	7025	7325	it,predict	
action	Action	1851	1851	7010	7310	it,predict	
actions	Actions Marketplace	1851	1851	7585	7885	it,predict	
actions	Actions Secrets	1851	1851	7445	7745	it,predict	
actions	Actions Token	1851	1851	7375	7675	it,predict	
actions	Actions Variables	1851	1851	7515	7815	it,predict	
actions	Actions Workflow	1851	1851	7480	7780	it,predict	
actions	actions/cache	1851	1851	7375	7675	it,predict	
actions	actions/upload-artifact	1851	1851	7620	7920	it,predict	
actions/cache	actions/cache	1851	1851	7375	7675	it,predict	
actions/upload-artifact	actions/upload-artifact	1851	1851	7620	7920	it,predict	
actionscache	actions/cache	1851	1851	7375	7675	it,predict	
actionsmarketplace	Actions Marketplace	1851	1851	7585	7885	it,predict	
actionssecrets	Actions Secrets	1851	1851	7445	7745	it,predict	
actionstoken	Actions Token	1851	1851	7375	7675	it,predict	
actionsuploadartifact	actions/upload-artifact	1851	1851	7620	7920	it,predict	
actionsvariables	Actions Variables	1851	1851	7515	7815	it,predict	
actionsworkflow	Actions Workflow	1851	1851	7480	7780	it,predict	
activation	Activation	1851	1851	7270	7570	it,predict	
activation	Activation Function	1851	1851	7585	7885	it,predict	
activationfunction	Activation Function	1851	1851	7585	7885	it,predict	
active	Active Queue Management	1851	1851	7620	7920	it,predict	
active	Active Record	1851	1851	7375	7675	it,predict	
activequeuemanagement	Active Queue Management	1851	1851	7620	7920	it,predict	
